,code,name,geographic_level,city_class,income_classification,urban_rural_2015_POPCEN,population_2015_POPCEN,Reg_code,Prov_code,Mun_code,Bgy_code,City_code,Dist_code,SubMun_code,Reg_name,Prov_name,Mun_name,Bgy_name,City_name,Dist_name,SubMun_name
0,133901000,TONDO I/II,SubMun,,,,631363,130000000,,,,133900000,,133901000,NATIONAL CAPITAL REGION (NCR),,,,CITY OF MANILA,,TONDO I/II
1,133902000,BINONDO,SubMun,,,,18040,130000000,,,,133900000,,133902000,NATIONAL CAPITAL REGION (NCR),,,,CITY OF MANILA,,BINONDO
2,133903000,QUIAPO,SubMun,,,,28478,130000000,,,,133900000,,133903000,NATIONAL CAPITAL REGION (NCR),,,,CITY OF MANILA,,QUIAPO
3,133904000,SAN NICOLAS,SubMun,,,,43069,130000000,,,,133900000,,133904000,NATIONAL CAPITAL REGION (NCR),,,,CITY OF MANILA,,SAN NICOLAS
4,133905000,SANTA CRUZ,SubMun,,,,132193,130000000,,,,133900000,,133905000,NATIONAL CAPITAL REGION (NCR),,,,CITY OF MANILA,,SANTA CRUZ
5,133906000,SAMPALOC,SubMun,,,,375119,130000000,,,,133900000,,133906000,NATIONAL CAPITAL REGION (NCR),,,,CITY OF MANILA,,SAMPALOC
6,133907000,SAN MIGUEL,SubMun,,,,17464,130000000,,,,133900000,,133907000,NATIONAL CAPITAL REGION (NCR),,,,CITY OF MANILA,,SAN MIGUEL
7,133908000,ERMITA,SubMun,,,,10523,130000000,,,,133900000,,133908000,NATIONAL CAPITAL REGION (NCR),,,,CITY OF MANILA,,ERMITA
8,133909000,INTRAMUROS,SubMun,,,,5935,130000000,,,,133900000,,133909000,NATIONAL CAPITAL REGION (NCR),,,,CITY OF MANILA,,INTRAMUROS
9,133910000,MALATE,SubMun,,,,86196,130000000,,,,133900000,,133910000,NATIONAL CAPITAL REGION (NCR),,,,CITY OF MANILA,,MALATE
10,133911000,PACO,SubMun,,,,82466,130000000,,,,133900000,,133911000,NATIONAL CAPITAL REGION (NCR),,,,CITY OF MANILA,,PACO
11,133912000,PANDACAN,SubMun,,,,87405,130000000,,,,133900000,,133912000,NATIONAL CAPITAL REGION (NCR),,,,CITY OF MANILA,,PANDACAN
12,133913000,PORT AREA,SubMun,,,,66742,130000000,,,,133900000,,133913000,NATIONAL CAPITAL REGION (NCR),,,,CITY OF MANILA,,PORT AREA
13,133914000,SANTA ANA,SubMun,,,,195155,130000000,,,,133900000,,133914000,NATIONAL CAPITAL REGION (NCR),,,,CITY OF MANILA,,SANTA ANA
